총 48개 trace replay 시작

[시작 전 prefix cache hits]
  hits: 0.0


====== astropy__astropy-12907_run0 (21턴) ======
  Turn 1: TTFT = 122.5 ms, hit rate = 0.0%
  Turn 2: TTFT = 48.0 ms, hit rate = 31.1%
  Turn 3: TTFT = 20.7 ms, hit rate = 31.1%
  Turn 4: TTFT = 15.9 ms, hit rate = 31.1%
  Turn 5: TTFT = 17.3 ms, hit rate = 31.1%
  Turn 6: TTFT = 18.2 ms, hit rate = 31.1%
  Turn 7: TTFT = 20.8 ms, hit rate = 31.1%
  Turn 8: TTFT = 21.0 ms, hit rate = 31.1%
  Turn 9: TTFT = 20.4 ms, hit rate = 31.1%
  Turn 10: TTFT = 20.8 ms, hit rate = 31.1%
  Turn 11: TTFT = 22.9 ms, hit rate = 31.1%
  Turn 12: TTFT = 22.9 ms, hit rate = 31.1%
  Turn 13: TTFT = 23.0 ms, hit rate = 31.1%
  Turn 14: TTFT = 22.9 ms, hit rate = 31.1%
  Turn 15: TTFT = 24.1 ms, hit rate = 31.1%
  Turn 16: TTFT = 25.5 ms, hit rate = 31.1%
  Turn 17: TTFT = 26.8 ms, hit rate = 31.1%
  Turn 18: TTFT = 26.6 ms, hit rate = 31.1%
  Turn 19: TTFT = 27.1 ms, hit rate = 31.1%
  Turn 20: TTFT = 27.0 ms, hit rate = 31.1%
  Turn 21: TTFT = 27.6 ms, hit rate = 31.1%
  세션 평균 TTFT: 28.7 ms, 최종 hit rate = 31.1%

====== astropy__astropy-12907_run1 (30턴) ======
  Turn 1: TTFT = 70.9 ms, hit rate = 47.4%
  Turn 2: TTFT = 45.8 ms, hit rate = 46.8%
  Turn 3: TTFT = 12.1 ms, hit rate = 46.8%
  Turn 4: TTFT = 14.5 ms, hit rate = 46.8%
  Turn 5: TTFT = 17.1 ms, hit rate = 46.8%
  Turn 6: TTFT = 16.3 ms, hit rate = 46.8%
  Turn 7: TTFT = 18.4 ms, hit rate = 46.8%
  Turn 8: TTFT = 17.7 ms, hit rate = 46.8%
  Turn 9: TTFT = 19.2 ms, hit rate = 46.8%
  Turn 10: TTFT = 20.1 ms, hit rate = 46.8%
  Turn 11: TTFT = 20.2 ms, hit rate = 46.8%
  Turn 12: TTFT = 21.2 ms, hit rate = 46.8%
  Turn 13: TTFT = 20.5 ms, hit rate = 46.8%
  Turn 14: TTFT = 22.0 ms, hit rate = 46.8%
  Turn 15: TTFT = 22.7 ms, hit rate = 46.8%
  Turn 16: TTFT = 22.0 ms, hit rate = 46.8%
  Turn 17: TTFT = 22.9 ms, hit rate = 46.8%
  Turn 18: TTFT = 24.9 ms, hit rate = 46.8%
  Turn 19: TTFT = 25.4 ms, hit rate = 46.8%
  Turn 20: TTFT = 25.9 ms, hit rate = 46.8%
  Turn 21: TTFT = 27.1 ms, hit rate = 46.8%
  Turn 22: TTFT = 28.3 ms, hit rate = 46.8%
  Turn 23: TTFT = 28.8 ms, hit rate = 46.8%
  Turn 24: TTFT = 29.1 ms, hit rate = 46.8%
  Turn 25: TTFT = 30.6 ms, hit rate = 46.8%
  Turn 26: TTFT = 31.5 ms, hit rate = 46.8%
  Turn 27: TTFT = 35.1 ms, hit rate = 46.8%
  Turn 28: TTFT = 37.1 ms, hit rate = 46.8%
  Turn 29: TTFT = 37.6 ms, hit rate = 46.8%
  Turn 30: TTFT = 38.8 ms, hit rate = 46.8%
